node	Algeria	Argentina	Australia	Austria	Belarus	Belgium	Brazil	Cambodia	Canada	Chile	China	Colombia	Croatia	Czech Republic	Democratic Republic of the Congo	Denmark	Diamond Princess	Ecuador	Estonia	Finland	France	Gambia	Georgia	Germany	Ghana	Grand Princess	Greece	Hong Kong	Hungary	Iceland	India	Iran	Ireland	Israel	Italy	Japan	Jordan	Kuwait	Latvia	Lithuania	Luxembourg	Malaysia	Mexico	Nepal	Netherlands	New Zealand	Nigeria	Norway	Pakistan	Peru	Poland	Portugal	Qatar	Russia	Saudi Arabia	Senegal	Singapore	Slovakia	Slovenia	South Africa	South Korea	Spain	Sri Lanka	Sweden	Switzerland	Taiwan	Thailand	Turkey	USA	United Kingdom	Uruguay	Vietnam
EPI_ISL_413851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n94	0.00010880700101219702	0.00032594536446802966	0.0008710265454551655	0.0009789355659942042	0.0002173058790704678	0.0016553423335620217	0.13384391320959946	0.00010864259875363061	0.0021996084380099387	0.0003265289502395702	0.28554923176881597	0.00021731060828100713	0.0004346976527555051	0.00043606040242171883	0.0003263131243338618	0.0006520497130919764	0.00021800296328201626	0.00021733431509574137	0.00032617893583922577	0.00043447358964910846	0.002194085240674653	0.0003259927456379236	0.0005432823532304457	0.001901288202120611	0.0004365276451666761	0.00032657510673630367	0.0003261779551371819	0.00032809887490563294	0.00021740731812299943	0.0004347189368001219	0.0007791707801086992	0.00010863790997128948	0.0006538775147011581	0.00021729372586722022	0.00033801551156369385	0.0005447745400231962	0.0005432278796878673	0.0005432719041212654	0.0005432415631332404	0.0001086989873595612	0.00043447549052348487	0.00021841624368258903	0.0008702689614572825	0.00010863789884032511	0.0015376423608379844	0.0005432621002162963	0.00010863442439854876	0.0004352622950329425	0.00010864145569764296	0.00010868344335472776	0.0007612648905655652	0.0012001543710717616	3.212371089407771e-10	0.001886478524775737	0.00021738547784231767	0.0005432703085949323	0.0007621579010547984	0.0004344945359980872	0.0003262393536286724	0.00032653240572529617	0.0005442021159848618	0.0016435127607985478	0.09884905829021748	0.0007661852522325353	0.0012042083592312765	0.00043526495645220426	0.0004347164412447539	0.0009877986645974368	0.4394401629550943	0.003251952398096321	0.0003277242777727856	0.00032123710894077707
EPI_ISL_416349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_413863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_428464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n102	1.0890246903649317e-06	3.262313512123088e-06	8.71790790243006e-06	9.79794490911988e-06	2.174965447698236e-06	1.656794396617801e-05	1.8895469438113115e-05	1.0873792253023436e-06	2.2015383898498797e-05	3.2681544902609016e-06	0.9962421142871715	2.175012781298054e-06	4.350790595187527e-06	4.364430048710623e-06	3.2659943375322135e-06	6.526218260743459e-06	2.181942406079386e-06	2.1752500574506475e-06	3.264651275206609e-06	4.348547998178182e-06	2.1960099509266532e-05	3.2627877395477275e-06	5.437590329699421e-06	1.9029564056974533e-05	4.369106575780745e-06	3.268616460208569e-06	3.2646414595814214e-06	3.2838675115504376e-06	2.1759807282568996e-06	4.350999626275071e-06	7.798544300050688e-06	1.0873322963392276e-06	6.544507991606658e-06	2.1748438090327043e-06	3.3831208873952115e-06	5.452525290178294e-06	5.437045116318962e-06	5.437485746926402e-06	5.4371820708321995e-06	1.0879436061192245e-06	4.34856702360035e-06	2.186078836236276e-06	8.710325415356203e-06	1.0873321849319203e-06	1.538991132096483e-05	5.4373876218565635e-06	1.0872974100291613e-06	4.356441972172766e-06	1.0873677847132136e-06	1.0877880296867039e-06	7.6193282970911514e-06	1.2012073949175687e-05	3.2151896462870055e-12	1.888133734238015e-05	2.1757621338219304e-06	5.437469777663812e-06	7.628266237320023e-06	4.3487576454527e-06	3.2652559832109883e-06	3.2681873795637995e-06	5.446796027306369e-06	1.644954353151794e-05	4.348163912482456e-06	7.668575085358524e-06	1.2052644342168724e-05	0.003219070411793363	4.350978644931535e-06	9.886653660599735e-06	9.638064521930046e-05	3.254794279886285e-05	3.2801182534805e-06	3.2151896462870053e-06
EPI_ISL_428442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_428454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_421234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_421256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_416391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n106	1.2859418896063593e-11	3.852204306646281e-11	1.0294278045898493e-10	1.1569607100891818e-10	2.5682422101048763e-11	1.956375586270665e-10	2.2312143966271308e-10	1.2839988919217459e-11	2.599620065671617e-10	3.859101449135467e-11	0.9999998162312754	2.5682981025555523e-11	5.137499570723404e-11	5.153605307160667e-11	3.856550698076888e-11	7.706287576814905e-11	2.576480740529154e-11	2.5685782829286187e-11	3.854964783524052e-11	5.134851467827907e-11	2.2001000900611142e-08	3.852764283767038e-11	1.753058641612584e-08	2.247048554391443e-10	5.159127442802359e-11	3.8596469523850275e-11	3.8549531930397294e-11	3.8776556953956875e-11	2.5694410734654955e-11	5.147816042775294e-11	9.208675323996141e-11	1.2839434772740884e-11	7.727884452693571e-11	2.5680985767632383e-11	2.7304462948781568e-08	6.438449685129492e-11	6.420170393613386e-11	6.420690695054004e-11	6.42033210831684e-11	1.2846653239508254e-11	5.134873933422627e-11	2.5813651190554047e-11	1.0285324495219672e-10	1.283943345722137e-11	1.8172711619902769e-10	6.420574832852789e-11	1.2839022828292933e-11	2.6626143075929038e-08	1.283985382647866e-11	1.2844816162228154e-11	8.997053523744524e-11	1.4043150632571825e-08	3.796559514002965e-17	2.2295456512660362e-10	2.569182952834027e-11	6.420671838232947e-11	9.007607620312576e-11	5.1350990234753876e-11	3.855678838064199e-11	3.859140285474708e-11	6.431685734740055e-11	1.5798534105137536e-08	5.134397931843185e-11	9.055205105175033e-11	1.4232000777620694e-10	5.1442042825611317e-11	5.137721623579436e-11	1.1674356148835258e-10	1.1380820729512094e-09	5.5186186383235824e-08	3.873228502629457e-11	3.796559514002965e-11
EPI_ISL_416346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n123	5.4666886857448847e-14	1.637616899218305e-13	4.3762174462371574e-13	4.918374675259992e-13	1.0917896640692221e-13	8.316780384070998e-13	1.4064762994596347e-12	5.4584287763782535e-14	1.1051287555193075e-12	1.6405489547889615e-13	0.999999922759951	1.0918134242565438e-13	2.1840108797521163e-13	2.190857615819181e-13	1.639464600817387e-13	3.2760325677053884e-13	6.90931213837416e-08	1.0919325321950743e-13	1.6387904100773063e-13	2.1828851403812702e-13	5.0850725372858514e-11	5.434208233885497e-13	2.7295628647270767e-13	9.55246501281166e-13	2.1932051399707454e-13	7.368466345301582e-09	1.6387854828274808e-13	7.92848591282431e-11	1.0922993144971544e-13	2.1841158092262927e-13	7.726287921320699e-11	1.17829913237782e-11	3.285213651078408e-13	6.037641714511904e-11	1.698259813690093e-13	6.721659534734762e-11	2.7292891781273854e-13	2.7295103659826843e-13	2.729357926585947e-13	5.46126185652179e-14	2.182894690767137e-13	3.831958216772887e-13	4.3724111876037954e-13	5.4581926430168685e-14	7.725431281846721e-13	2.729461150706143e-13	5.45801807987873e-14	2.1868477592918935e-13	2.8933796777765765e-11	5.4604808935822405e-14	3.8247521992110485e-13	6.029823688229224e-13	1.61396165003306e-19	9.478058131697043e-13	5.937777597583735e-13	2.729502349728517e-13	8.283359537533903e-11	2.1829903791691277e-13	2.8975942073339785e-13	1.6405654645689164e-13	2.7341839427036324e-13	8.257345706210152e-13	2.1826923372495112e-13	3.84947311349448e-13	6.05018922358517e-13	2.1868611308125051e-13	2.184105277154356e-13	4.962904715351722e-13	2.7250289684868483e-10	2.7708025695393775e-11	1.6465545274458674e-13	1.6139616500330597e-13
n150	1.1032206530916112e-06	3.3048393441180663e-06	0.0026029146639389303	9.92566585241761e-06	2.203317172595303e-06	1.6783915116403047e-05	1.9141781006822066e-05	1.1015537385973406e-06	2.2302365058799122e-05	3.3107564622265025e-06	0.9968556646101439	2.2033651232114514e-06	4.407505251583585e-06	4.4213225019698185e-06	3.308568150863863e-06	6.611290667269563e-06	2.21038507899811e-06	2.2036054923732747e-06	3.3072075810722817e-06	4.405233421239276e-06	2.2246360010856497e-05	3.3053197533261898e-06	5.508471945448187e-06	1.9277623613794358e-05	4.426059989828585e-06	3.3112244541755223e-06	3.307197637495681e-06	3.3266743103363335e-06	2.2043456878263256e-06	4.407717007492295e-06	7.900202090902776e-06	1.1015061978925285e-06	6.629818813606637e-06	2.2031939483110267e-06	3.4272215018644945e-06	5.523601590348963e-06	5.507919624948031e-06	5.508365999388219e-06	5.508058364729484e-06	1.102125476390708e-06	4.405252694667011e-06	2.2145754295195684e-06	8.823868713343516e-06	1.101506085032973e-06	1.559052624678998e-05	5.508266595210711e-06	1.101470856822564e-06	4.413230296996865e-06	1.1015421488746066e-06	1.1019678719442618e-06	7.718649920801626e-06	1.2168657133708882e-05	3.2571011959347932e-12	1.9127464692398112e-05	2.2041242439073376e-06	5.50834982195858e-06	7.727704371397493e-06	4.405445801367257e-06	3.3078201717375107e-06	3.310789780257346e-06	5.517797643768854e-06	1.666397127490186e-05	4.404844328801034e-06	7.768538664735236e-06	1.2209756381365942e-05	4.413257281774213e-06	4.407695752646527e-06	1.0015530965310276e-05	9.763701347174846e-05	3.297222095058035e-05	3.322876178876945e-06	3.257101195934793e-06
