id	species	location	iso2	iso3	country	state	intregion	region
EPI_ISL_429143	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429142	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429145	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429144	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429147	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429146	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429149	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429148	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_420775	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420774	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420777	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420776	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_417163	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417164	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417161	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417162	Human	North America / USA / Washington / Snohomish County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417167	Human	North America / USA / Washington / Snohomish County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417168	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417165	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417166	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417169	Human	North America / USA / Washington	US	USA	USA	Washington	Northern America	North America
EPI_ISL_430101	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_430100	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_429116	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_429115	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_429118	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_429117	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_417160	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_429119	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_417152	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417153	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417150	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417151	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417156	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417157	Human	North America / USA / Washington / Snohomish County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417154	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417155	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_430105	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_430104	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_417158	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_430103	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_417159	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_430102	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_430109	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_430108	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_430107	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_430106	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_429121	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_429120	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_429123	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_430112	Human	Europe / Russia / Buryat Republic / Ulan-Ude	RU	RUS	Russia	Buryat Republic	Eastern Europe	Europe
EPI_ISL_429122	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_430111	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_429125	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_430110	Human	Europe / Russia / St.Petersburg	RU	RUS	Russia	St.Petersburg	Eastern Europe	Europe
EPI_ISL_429124	Human	Europe / Sweden / Halland	SE	SWE	Sweden	Halland	Northern Europe	Europe
EPI_ISL_429127	Human	Europe / Sweden / Sormland	SE	SWE	Sweden	Sormland	Northern Europe	Europe
EPI_ISL_429126	Human	Europe / Sweden / Sormland	SE	SWE	Sweden	Sormland	Northern Europe	Europe
EPI_ISL_429129	Human	Europe / Sweden / Norrbotten	SE	SWE	Sweden	Norrbotten	Northern Europe	Europe
EPI_ISL_429128	Human	Europe / Sweden / Norrbotten	SE	SWE	Sweden	Norrbotten	Northern Europe	Europe
EPI_ISL_420797	Human	North America / USA / Texas	US	USA	USA	Texas	Northern America	North America
EPI_ISL_420796	Human	North America / USA / Texas	US	USA	USA	Texas	Northern America	North America
EPI_ISL_420799	Human	Asia / Korea	KR	KOR	South Korea		Eastern Asia	Asia
EPI_ISL_420798	Human	North America / USA / Texas	US	USA	USA	Texas	Northern America	North America
EPI_ISL_417185	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417186	Human	Africa / South Africa / KZN	ZA	ZAF	South Africa	KZN	Southern Africa	Africa
EPI_ISL_417183	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417184	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417189	Human	North America / USA / Minnesota	US	USA	USA	Minnesota	Northern America	North America
EPI_ISL_417187	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417188	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_429170	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429172	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429171	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429174	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429173	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429176	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429175	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429178	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429177	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429179	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
