country	freq	freq_PD_0	freq_PD_1	freq_PD_2	freq_PD_3	freq_PD_4	freq_G_0	freq_G_1	freq_G_2	freq_G_3	freq_G_4
Democratic Republic of the Congo	0.00015932788146005616	0.006098483582350554	0.005942695339401839	0.005996933212984975	0.005925519389640248	0.0059447712670152395	0.0062165154400096664	0.006197667154296129	0.006058974995498888	0.006164469710915061	0.005903257476464022
Colombia	0.0018694216091503226	0.004062360582917542	0.003957581361982962	0.003995185133766563	0.003945824040498923	0.0039597506431165485	0.004143862897667632	0.0041312491142426536	0.004040012063225453	0.00410965338493631	0.003935211416011053
Czech Republic	0.002785556927545646	0.00815202705876066	0.007941372650760808	0.00801646549958448	0.007925863001606909	0.007947087145660715	0.006224695005490657	0.006218562302786634	0.006081093287411019	0.006182606418725548	0.007880934909894345
Germany	0.058383710562519335	0.035536000074286	0.034625565737410435	0.03698405935807423	0.0386287494829423	0.03667235275663202	0.036680142772169216	0.04244729475458473	0.039868405593177496	0.0400808780988622	0.04048528584217935
Denmark	0.003144427660545821	0.012191460056111462	0.011874891023645934	0.011983342811986599	0.01183971333954954	0.011882718394326761	0.010373395375870205	0.012402453492296624	0.010174692647006057	0.010299018330066466	0.009858555121593868
Algeria	0.001197640108955759	0.002034830361108874	0.001981553328967331	0.0020021615422737287	0.0019801372036751625	0.00198462605977738	0.0020759583592428353	0.0020709021530855264	0.002025002320700999	0.00205964196040548	0.0019735533876315443
Diamond Princess	2.680998005337484e-05	0.004075352401246259	0.003970190278176898	0.002006514370233276	0.003959719922226265	0.003973407422902399	0.002073128379011268	0.0020661850840719455	0.0020276210982371683	0.002055933301575109	0.0019692121241251933
Ecuador	0.004283085813384155	0.004062016422484779	0.003958013101827097	0.003995517898081814	0.003945812575364226	0.003959510715561156	0.004143571840552917	0.00413211778017381	0.00403975040236904	0.004109621576236234	0.003935198748341316
Spain	0.07976696765337607	0.030709895427121978	0.029931045671653972	0.03239214304612969	0.029915405064168878	0.03207604894768275	0.027855089903380655	0.02773161114233915	0.027065111243688062	0.029397475401111962	0.026387338746058274
Estonia	0.0006147145426523803	0.006096982089604151	0.005940251547589056	0.005995461933882995	0.00592434536209254	0.005943568448490684	0.004146294458597324	0.004207601172359864	0.004043594060706939	0.004112195176374181	0.005903324320215909
Finland	0.0016832837476368915	0.008123144310889088	0.00791247419659167	0.007988296302863681	0.007896790963475448	0.007917993195616486	0.006219488019820009	0.008263914901847424	0.006062274153942375	0.008218948573015597	0.007870997167748512
France	0.04694695607146468	0.04295585073983131	0.039957871177794736	0.033943952212598445	0.04168490219930977	0.03785062028992708	0.04553377714451791	0.05331490120950346	0.048881968725562656	0.04738449171702926	0.04862997613712692
United Kingdom	0.05494667111967669	0.060788584856626415	0.05922316084726414	0.058058852269671266	0.060995674733485473	0.059116316134637	0.05690897106729844	0.05449685585815107	0.059607195518523275	0.06064577458289625	0.06004149187426365
Georgia	0.00017005187348140613	0.010160519217680172	0.009894059624823894	0.00998244827650436	0.009868664530209516	0.009901510386878325	0.006216708391636768	0.006196231972475125	0.006059427588735412	0.0061643413423714795	0.005903278967377838
Ghana	0.000489856635546663	0.008161020906675564	0.00794988190483557	0.008022606718015919	0.007930354934254424	0.007955833699923271	0.006216503487632488	0.004174650222391901	0.00605904328138838	0.004153550705717525	0.005903239925291323
Gambia	3.82999715048212e-06	0.006093182012271124	0.005936860719703159	0.005989614824749299	0.005920156738679873	0.005939661376215151	0.006216310110245005	0.006196759974809884	0.00605911531045264	0.006164270322748616	0.005903091361252865
Greece	0.0009536692904700476	0.006096754153059677	0.005940233687401959	0.005993702882715301	0.005923917570002097	0.005943287760633425	0.00414559060022924	0.006196406161693991	0.00605972300215763	0.004111630961583683	0.0059032654266215154
Grand Princess	9.574992876205301e-06	0.006104109758057384	0.0059474664671498026	0.006000747026837675	0.005930824599832997	0.005950286827138039	0.002073603044397576	0.002065892546300761	0.0020218413484636875	0.00411170800157453	0.0019691478308356655
Hong Kong	2.3745982332989146e-05	0.006134097763716077	0.005975216776049059	0.006029573433261344	0.007953647716669072	0.005978939157077662	0.002081306888074564	0.0020743257501511414	0.0020294616501065226	0.0020724485079307515	0.0019833850732813687
Croatia	0.0007694464275318579	0.0061009866204058535	0.007916554751980978	0.004000691828573271	0.0059295323130932115	0.00792322635855137	0.004145954566937846	0.004133148895079875	0.006059988167160838	0.0020582749914537873	0.005903314724652762
Hungary	0.000935668303862782	0.004064719504734777	0.003959342606273827	0.003997542526599105	0.00394879327348631	0.003961943381427094	0.004145878337010095	0.004133474656287333	0.004042307137676409	0.004111712740341417	0.003937220608184239
India	0.009385791016971484	0.014553845381240164	0.014189973428137388	0.014317037346722138	0.014143292684676914	0.014198318096779211	0.015864038693698887	0.018023019891996853	0.016403558217088818	0.015964438269969003	0.013991317632723483
Ireland	0.006964466818436686	0.01222503293642785	0.011908170413359129	0.01201770017533952	0.011875430688963379	0.011916326051021274	0.014535644448870564	0.012423459965822578	0.01215491666954393	0.012357328009389639	0.013809260264972851
Iran	0.03377827686896201	0.0020303080118768946	0.0019784739047400348	0.0019995924856873975	0.001973258443422186	0.0019776617060800463	0.002071322555637175	0.002065117066391081	0.002019330055081456	0.002054389723437243	0.001967678927958294
Iceland	0.0006851864902212512	0.008127266631248586	0.007916935098038477	0.007992517046821399	0.00790260616868376	0.007923668885332767	0.00621658176886877	0.006197607018053321	0.006059513406604053	0.006164169096334163	0.00590328540139315
Israel	0.005767209709195976	0.0040623598175387595	0.00395727390563439	0.003995440392666515	0.003945844522438502	0.003959591273564579	0.004143559479637748	0.004130420170812288	0.004039596030065835	0.004109798283142395	0.003935149547986308
